#Switch,Port,Peer-Device,Peer-Port,Blacklist,Comment
#switch,port,peerDevice,peerPort
sw-ib-c2f14-04-01,8,ru-c2e12-17-01,,0,
sw-ib-c2f14-04-01,9,bu-c2f16-09-01,,0,
sw-ib-c2f14-04-01,10,bu-c2e18-09-01,,0,
sw-ib-c2f14-04-01,11,bu-c2d38-07-01,,1,
sw-ib-c2f14-04-01,12,bu-c2d41-07-01,,0,
sw-ib-c2f14-04-01,13,bu-c2f16-23-01,,0,
sw-ib-c2f14-04-01,14,bu-c2f16-25-01,,0,
sw-ib-c2f14-04-01,15,,,0,
sw-ib-c2f14-04-01,16,bu-c2f13-31-01,,1,
sw-ib-c2f14-04-01,17,,,0,
sw-ib-c2f14-04-01,18,,,0,
sw-ib-c2f14-04-01,19,sw-ib-c2f15-19-01,2,0,
sw-ib-c2f14-04-01,20,sw-ib-c2f15-19-01,4,0,
sw-ib-c2f14-04-01,21,sw-ib-c2f15-19-01,6,0,
sw-ib-c2f14-04-01,22,sw-ib-c2f15-21-01,2,0,
sw-ib-c2f14-04-01,23,sw-ib-c2f15-21-01,4,0,
sw-ib-c2f14-04-01,24,sw-ib-c2f15-21-01,6,0,
sw-ib-c2f14-04-01,25,sw-ib-c2f15-23-01,2,0,
sw-ib-c2f14-04-01,26,sw-ib-c2f15-23-01,4,0,
sw-ib-c2f14-04-01,27,sw-ib-c2f15-23-01,6,0,
sw-ib-c2f14-04-01,28,sw-ib-c2f15-25-01,2,0,
sw-ib-c2f14-04-01,29,sw-ib-c2f15-25-01,4,0,
sw-ib-c2f14-04-01,30,sw-ib-c2f15-25-01,6,0,
sw-ib-c2f14-04-01,31,sw-ib-c2f15-27-01,2,0,
sw-ib-c2f14-04-01,32,sw-ib-c2f15-27-01,4,0,
sw-ib-c2f14-04-01,33,sw-ib-c2f15-27-01,6,0,
sw-ib-c2f14-04-01,34,sw-ib-c2f15-29-01,2,0,
sw-ib-c2f14-04-01,35,sw-ib-c2f15-29-01,4,0,
sw-ib-c2f14-04-01,36,sw-ib-c2f15-29-01,6,0,
sw-ib-c2f14-34-01,1,ru-c2e14-10-01,,0,
sw-ib-c2f14-34-01,2,ru-c2e14-11-01,,0,
sw-ib-c2f14-34-01,3,ru-c2e14-12-01,,0,
sw-ib-c2f14-34-01,4,ru-c2e14-13-01,,0,
sw-ib-c2f14-34-01,5,ru-c2e14-14-01,,0,
sw-ib-c2f14-34-01,6,ru-c2e14-15-01,,0,
sw-ib-c2f14-34-01,7,ru-c2e14-16-01,,0,
sw-ib-c2f14-34-01,8,ru-c2e14-17-01,,0,
